,<program>,<identifier-list>,<declarations>,<sub-declarations>,<compound-statement>, <identifier-list-tail>,<declaration-list>,<type>,<declaration-list-tail>,<standard-type>,<array-type>,<subprogram-declaration>,<subprogram-head>,<arguments>,<parameter-list>,<parameter-list-tail>,<statement-list>,<statement>,<statement-list-tail>,<elementary-statement> ,<expression>,<else-clause>,<es-tail>,<subscript>,<parameters> ,<expression-list>,<expression-list-tail>,<simple-expression> ,<expression-tail><term><simple-expression-tail><sign>,,,,<factor>,<term-tail>,<factor-tail>,<actual-parameters>,<Goal>,<constant>
program,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,65,999
begin,999,999,-6,-16,25,999,999,999,-9,999,999,999,999,999,999,999,26,29,999,35,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
end,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-28,999,999,33,37,39,41,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
var,999,999,5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
function,999,999,-6,15,999,999,999,999,-9,999,999,17,18,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
procedure,999,999,-6,15,999,999,999,999,-9,999,999,17,19,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
result,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
integer,999,999,999,999,999,999,999,10,999,12,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
real,999,999,999,999,999,999,999,10,999,13,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
array,999,999,999,999,999,999,999,11,999,999,14,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
of,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
if,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,30,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
then,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
else,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,32,37,39,41,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
while,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26,31,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
do,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
not,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,45,999,999,999,999,42,999,48,999,52,999,999,58,999,999,999,999,999
identifier,999,2,999,999,999,999,7,999,8,999,999,999,999,999,22,999,26,29,999,34,45,999,999,999,999,42,999,48,999,52,999,999,55,999,999,999,999,999
intconstant,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,45,999,999,999,999,42,999,48,999,52,999,999,56,999,999,999,999,66
realconstant,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,45,999,999,999,999,42,999,48,999,52,999,999,56,999,999,999,999,67
relop,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,46,999,-51,999,999,-54,60,62,999,999
mulop,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,999,999,999,999,999,53,60,62,999,999
addop,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,999,999,50,999,999,-54,60,62,999,999
assignop,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,36,39,999,999,999,999,999,999,999,999,999,999,999,999,999,999
",",999,999,999,999,999,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,43,999,-47,999,-51,999,999,-54,60,62,999,999
;,999,999,999,999,999,999,999,999,999,999,999,999,999,-21,999,23,999,999,27,999,999,33,37,39,41,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
:,999,999,999,999,999,-4,999,999,999,999,999,999,999,-21,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
),999,999,999,999,999,-4,999,999,999,999,999,999,999,999,999,-24,999,999,999,999,999,999,999,39,999,999,-44,999,-47,999,-51,999,999,-54,60,62,999,999
(,999,999,999,999,999,999,999,999,999,999,999,999,999,20,999,999,999,999,999,999,45,999,37,999,40,42,999,48,999,52,999,999,57,999,59,61,999,999
],999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39,999,999,999,999,-47,999,-51,999,999,-54,60,62,999,999
[,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,36,38,999,999,999,999,999,999,999,999,999,999,60,999,999,999
unaryminus,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,45,999,999,999,999,42,999,49,999,999,999,64,999,999,999,999,999,999
